1stInstance | construct
1stInstance | Try to get FILE Lock
1stInstance | LockKey: 0.46428700 1384010117
1stInstance | LockKey not confirmed
1stInstance | Expected: 0.46428700 1384010117
1stInstance | Actual: 0.46428700 1384010117

1stInstance | destruct
1stInstance | Unlock
1stInstance | Unlock file
1stInstance | successful
2013.11.19 16:53:48 | 1stInstance_testPreventMultipleAccessToDatafile | successful
2013.11.19 16:53:48 | 1stInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 16:54:37 | 1stInstance_testEditLine | Open DataHandler
2013.11.19 16:54:37 | 1stInstance_testEditLine | Try to get FILE Lock
2013.11.19 16:54:37 | 1stInstance_testEditLine | LockKey: 1stInstance_testEditLine
2013.11.19 16:54:37 | 1stInstance_testEditLine | Lock created
2013.11.19 16:54:37 | 1stInstance_testEditLine | Lock created, Timeout: 1000000
2013.11.19 16:54:37 | 1stInstance_testEditLine | File Read successfully
2013.11.19 16:54:37 | 1stInstance_testEditLine | Unlock
2013.11.19 16:54:37 | 1stInstance_testEditLine | Unlock file
2013.11.19 16:54:37 | 1stInstance_testEditLine | successful
2013.11.19 16:54:37 | 1stInstance_testEditLine | Close DataHandler
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | Open DataHandler
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | Try to get FILE Lock
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | LockKey: 1stInstance_testIsClimperInDatabasePositive
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | Lock created
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | Lock created, Timeout: 1000000
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | File Read successfully
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | Unlock
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | Unlock file
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | successful
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabasePositive | Close DataHandler
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | Open DataHandler
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | Try to get FILE Lock
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | LockKey: 1stInstance_testIsClimperInDatabaseNegative
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | Lock created
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | Lock created, Timeout: 1000000
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | File Read successfully
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | Unlock
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | Unlock file
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | successful
2013.11.19 16:54:37 | 1stInstance_testIsClimperInDatabaseNegative | Close DataHandler
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | Open DataHandler
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | Try to get FILE Lock
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | LockKey: 1stInstance_testAddNewEmptyKlimperDataset
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | Lock created
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | Lock created, Timeout: 1000000
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | File Read successfully
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | Unlock
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | Unlock file
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | successful
2013.11.19 16:54:37 | 1stInstance_testAddNewEmptyKlimperDataset | Close DataHandler
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | Open DataHandler
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | Try to get FILE Lock
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | LockKey: 2ndInstance_testAddNewEmptyKlimperDataset
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | Lock created
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | Lock created, Timeout: 1000000
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | File Read successfully
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | Unlock
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | Unlock file
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | successful
2013.11.19 16:54:37 | 2ndInstance_testAddNewEmptyKlimperDataset | Close DataHandler
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | Open DataHandler
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | Try to get FILE Lock
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | LockKey: 1stInstance_testIncrementDay
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | Lock created
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | Lock created, Timeout: 1000000
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | File Read successfully
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | Unlock
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | Unlock file
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | successful
2013.11.19 16:54:37 | 1stInstance_testIncrementDay | Close DataHandler
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | Open DataHandler
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | Try to get FILE Lock
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | LockKey: 2ndInstance_testIncrementDay
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | Lock created
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | Lock created, Timeout: 1000000
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | File Read successfully
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | Unlock
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | Unlock file
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | successful
2013.11.19 16:54:37 | 2ndInstance_testIncrementDay | Close DataHandler
2013.11.19 16:54:37 | 1stInstance_testPreventMultipleAccessToDatafile | Open DataHandler
2013.11.19 16:54:37 | 1stInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 16:54:37 | 1stInstance_testPreventMultipleAccessToDatafile | LockKey: 1stInstance_testPreventMultipleAccessToDatafile
2013.11.19 16:54:37 | 1stInstance_testPreventMultipleAccessToDatafile | Lock created
2013.11.19 16:54:37 | 1stInstance_testPreventMultipleAccessToDatafile | Lock created, Timeout: 1000000
2013.11.19 16:54:37 | 1stInstance_testPreventMultipleAccessToDatafile | File Read successfully
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | Open DataHandler
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:54:38 | 2ndInstance_testPreventMultipleAccessToDatafile | could not get lock (timeout occured)
2013.11.19 16:54:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File could not be read!
2013.11.19 16:54:38 | 1stInstance_testPreventMultipleAccessToDatafile | unset now
2013.11.19 16:54:38 | 1stInstance_testPreventMultipleAccessToDatafile | Unlock
2013.11.19 16:54:38 | 1stInstance_testPreventMultipleAccessToDatafile | Unlock file
2013.11.19 16:54:38 | 1stInstance_testPreventMultipleAccessToDatafile | successful
2013.11.19 16:54:38 | 1stInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 16:54:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Unlock
2013.11.19 16:54:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Tryed to unlock a file but file doesn't exists
2013.11.19 16:54:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 16:57:05 | 1stInstance_testEditLine | Open DataHandler
2013.11.19 16:57:05 | 1stInstance_testEditLine | Try to get FILE Lock
2013.11.19 16:57:05 | 1stInstance_testEditLine | LockKey: 1stInstance_testEditLine
2013.11.19 16:57:05 | 1stInstance_testEditLine | Lock created
2013.11.19 16:57:05 | 1stInstance_testEditLine | Lock created, Timeout: 1000000
2013.11.19 16:57:05 | 1stInstance_testEditLine | File Read successfully
2013.11.19 16:57:05 | 1stInstance_testEditLine | Unlock
2013.11.19 16:57:05 | 1stInstance_testEditLine | Unlock file
2013.11.19 16:57:05 | 1stInstance_testEditLine | successful
2013.11.19 16:57:05 | 1stInstance_testEditLine | Close DataHandler
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | Open DataHandler
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | Try to get FILE Lock
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | LockKey: 1stInstance_testIsClimperInDatabasePositive
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | Lock created
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | Lock created, Timeout: 1000000
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | File Read successfully
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | Unlock
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | Unlock file
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | successful
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabasePositive | Close DataHandler
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | Open DataHandler
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | Try to get FILE Lock
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | LockKey: 1stInstance_testIsClimperInDatabaseNegative
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | Lock created
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | Lock created, Timeout: 1000000
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | File Read successfully
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | Unlock
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | Unlock file
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | successful
2013.11.19 16:57:05 | 1stInstance_testIsClimperInDatabaseNegative | Close DataHandler
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | Open DataHandler
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | Try to get FILE Lock
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | LockKey: 1stInstance_testAddNewEmptyKlimperDataset
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | Lock created
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | Lock created, Timeout: 1000000
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | File Read successfully
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | Unlock
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | Unlock file
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | successful
2013.11.19 16:57:05 | 1stInstance_testAddNewEmptyKlimperDataset | Close DataHandler
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | Open DataHandler
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | Try to get FILE Lock
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | LockKey: 2ndInstance_testAddNewEmptyKlimperDataset
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | Lock created
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | Lock created, Timeout: 1000000
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | File Read successfully
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | Unlock
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | Unlock file
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | successful
2013.11.19 16:57:05 | 2ndInstance_testAddNewEmptyKlimperDataset | Close DataHandler
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | Open DataHandler
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | Try to get FILE Lock
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | LockKey: 1stInstance_testIncrementDay
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | Lock created
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | Lock created, Timeout: 1000000
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | File Read successfully
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | Unlock
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | Unlock file
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | successful
2013.11.19 16:57:05 | 1stInstance_testIncrementDay | Close DataHandler
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | Open DataHandler
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | Try to get FILE Lock
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | LockKey: 2ndInstance_testIncrementDay
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | Lock created
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | Lock created, Timeout: 1000000
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | File Read successfully
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | Unlock
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | Unlock file
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | successful
2013.11.19 16:57:05 | 2ndInstance_testIncrementDay | Close DataHandler
2013.11.19 16:57:05 | 1stInstance_testPreventMultipleAccessToDatafile | Open DataHandler
2013.11.19 16:57:05 | 1stInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 16:57:05 | 1stInstance_testPreventMultipleAccessToDatafile | LockKey: 1stInstance_testPreventMultipleAccessToDatafile
2013.11.19 16:57:05 | 1stInstance_testPreventMultipleAccessToDatafile | Lock created
2013.11.19 16:57:05 | 1stInstance_testPreventMultipleAccessToDatafile | Lock created, Timeout: 1000000
2013.11.19 16:57:05 | 1stInstance_testPreventMultipleAccessToDatafile | File Read successfully
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | Open DataHandler
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:05 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:06 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:57:06 | 2ndInstance_testPreventMultipleAccessToDatafile | could not get lock (timeout occured)
2013.11.19 16:57:06 | 2ndInstance_testPreventMultipleAccessToDatafile | File could not be read!
2013.11.19 16:57:06 | 1stInstance_testPreventMultipleAccessToDatafile | unset now
2013.11.19 16:57:06 | 1stInstance_testPreventMultipleAccessToDatafile | Unlock
2013.11.19 16:57:06 | 1stInstance_testPreventMultipleAccessToDatafile | Unlock file
2013.11.19 16:57:06 | 1stInstance_testPreventMultipleAccessToDatafile | successful
2013.11.19 16:57:06 | 1stInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 16:57:06 | 2ndInstance_testPreventMultipleAccessToDatafile | Unlock
2013.11.19 16:57:06 | 2ndInstance_testPreventMultipleAccessToDatafile | Tryed to unlock a file but file doesn't exists
2013.11.19 16:57:06 | 2ndInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 16:58:37 | 1stInstance_testPreventMultipleAccessToDatafile | Open DataHandler
2013.11.19 16:58:37 | 1stInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 16:58:37 | 1stInstance_testPreventMultipleAccessToDatafile | LockKey: 1stInstance_testPreventMultipleAccessToDatafile
2013.11.19 16:58:37 | 1stInstance_testPreventMultipleAccessToDatafile | Lock created
2013.11.19 16:58:37 | 1stInstance_testPreventMultipleAccessToDatafile | Lock created, Timeout: 1000000
2013.11.19 16:58:37 | 1stInstance_testPreventMultipleAccessToDatafile | File Read successfully
2013.11.19 16:58:37 | 2ndInstance_testPreventMultipleAccessToDatafile | Open DataHandler
2013.11.19 16:58:37 | 2ndInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 16:58:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:37 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | could not get lock (timeout occured)
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File could not be read!
2013.11.19 16:58:38 | 1stInstance_testPreventMultipleAccessToDatafile | unset now
2013.11.19 16:58:38 | 1stInstance_testPreventMultipleAccessToDatafile | Unlock
2013.11.19 16:58:38 | 1stInstance_testPreventMultipleAccessToDatafile | Unlock file
2013.11.19 16:58:38 | 1stInstance_testPreventMultipleAccessToDatafile | successful
2013.11.19 16:58:38 | 1stInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | LockKey: 2ndInstance_testPreventMultipleAccessToDatafile
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Lock created
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Lock created, Timeout: 1000000
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | File Read successfully
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Unlock
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Unlock file
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | successful
2013.11.19 16:58:38 | 2ndInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 17:00:35 | 1stInstance_testPreventMultipleAccessToDatafile | Open DataHandler
2013.11.19 17:00:35 | 1stInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 17:00:35 | 1stInstance_testPreventMultipleAccessToDatafile | LockKey: 1stInstance_testPreventMultipleAccessToDatafile
2013.11.19 17:00:35 | 1stInstance_testPreventMultipleAccessToDatafile | Lock created
2013.11.19 17:00:35 | 1stInstance_testPreventMultipleAccessToDatafile | Lock created, Timeout: 1000000
2013.11.19 17:00:35 | 1stInstance_testPreventMultipleAccessToDatafile | File Read successfully
2013.11.19 17:00:35 | 2ndInstance_testPreventMultipleAccessToDatafile | Open DataHandler
2013.11.19 17:00:35 | 2ndInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 17:00:35 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File still locked
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | could not get lock (timeout occured)
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File could not be read!
2013.11.19 17:00:36 | 1stInstance_testPreventMultipleAccessToDatafile | unset now
2013.11.19 17:00:36 | 1stInstance_testPreventMultipleAccessToDatafile | Unlock
2013.11.19 17:00:36 | 1stInstance_testPreventMultipleAccessToDatafile | Unlock file
2013.11.19 17:00:36 | 1stInstance_testPreventMultipleAccessToDatafile | successful
2013.11.19 17:00:36 | 1stInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | Try to get FILE Lock
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | LockKey: 2ndInstance_testPreventMultipleAccessToDatafile
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | Lock created
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | Lock created, Timeout: 1000000
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | File Read successfully
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | Unlock
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | Unlock file
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | successful
2013.11.19 17:00:36 | 2ndInstance_testPreventMultipleAccessToDatafile | Close DataHandler
2013.11.19 17:01:20 | 1stInstance_testEditLine | Open DataHandler
2013.11.19 17:01:20 | 1stInstance_testEditLine | Try to get FILE Lock
2013.11.19 17:01:20 | 1stInstance_testEditLine | LockKey: 1stInstance_testEditLine
2013.11.19 17:01:20 | 1stInstance_testEditLine | Lock created
2013.11.19 17:01:20 | 1stInstance_testEditLine | Lock created, Timeout: 1000000
2013.11.19 17:01:20 | 1stInstance_testEditLine | File Read successfully
2013.11.19 17:01:20 | 1stInstance_testEditLine | Unlock
2013.11.19 17:01:20 | 1stInstance_testEditLine | Unlock file
2013.11.19 17:01:20 | 1stInstance_testEditLine | successful
2013.11.19 17:01:20 | 1stInstance_testEditLine | Close DataHandler
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | Open DataHandler
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | Try to get FILE Lock
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | LockKey: 1stInstance_testIsClimperInDatabasePositive
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | Lock created
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | Lock created, Timeout: 1000000
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | File Read successfully
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | Unlock
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | Unlock file
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | successful
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabasePositive | Close DataHandler
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | Open DataHandler
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | Try to get FILE Lock
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | LockKey: 1stInstance_testIsClimperInDatabaseNegative
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | Lock created
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | Lock created, Timeout: 1000000
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | File Read successfully
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | Unlock
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | Unlock file
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | successful
2013.11.19 17:01:20 | 1stInstance_testIsClimperInDatabaseNegative | Close DataHandler
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | Open DataHandler
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | Try to get FILE Lock
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | LockKey: 1stInstance_testAddNewEmptyKlimperDataset
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | Lock created
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | Lock created, Timeout: 1000000
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | File Read successfully
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | Unlock
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | Unlock file
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | successful
2013.11.19 17:01:20 | 1stInstance_testAddNewEmptyKlimperDataset | Close DataHandler
